mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
95	95	282	282	5.0	0	0	3/4	2	1	ii7		a	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
96	96	287	287	1.0	1/2	1/2	3/4	2	1	ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
97	97	288	288	0.75	0	0	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
97	97	1155/4	1155/4	0.25	3/16	3/16	3/4	2	1	V7	v7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
97	97	289	289	1.5	1/4	1/4	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
97	97	581/2	581/2	0.5	5/8	5/8	3/4	2	1	V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
98	98	291	291	0.75	0	0	3/4	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
98	98	1167/4	1167/4	0.25	3/16	3/16	3/4	2	1	V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
98	98	292	292	1.5	1/4	1/4	3/4	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
98	98	587/2	587/2	0.5	5/8	5/8	3/4	2	1	V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
99	99	294	294	0.75	0	0	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
99	99	1179/4	1179/4	0.25	3/16	3/16	3/4	2	1	V7	v7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
99	99	295	295	1.5	1/4	1/4	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
99	99	593/2	593/2	0.5	5/8	5/8	3/4	2	1	V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
100	100	297	297	0.75	0	0	3/4	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
100	100	1191/4	1191/4	0.25	3/16	3/16	3/4	2	1	V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
100	100	298	298	1.5	1/4	1/4	3/4	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
100	100	599/2	599/2	4.5	5/8	5/8	3/4	2	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
102	102	304	304	1.0	1/4	1/4	3/4	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
102	102	305	305	1.0	1/2	1/2	3/4	2	1	v64		a	i		v64	v		64					m	1	1	2, 1, -2		1	2
103	103	306	306	6.0	0	0	3/4	2	1	i|PAC}		a	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
